SiteID,Location,HabitatType,WaterDepth,CanopyHeight,ALISUBC,AMBROSIA,APOCYNUM,ASCLEPIAS,BIDENS,BOECYLI,BOLFLUV,BUTUMBE,CAREX,CERDEME,CHARA,CICDOUG,CALSEPI,CUSCUTA,CYPERUS,DECVERT,ELEOBTU,ELOCANA,EPILOBIUM,ERECHTITES,EUPPERF,HETDUBI,HYDMORS,IMPCAPE,IRIS,JUNCUS,JUNCUS_2,LEEORYZ,LYCAMER,LYTSALI,MELILOTUS,MIMRING,MYRSIBI,MYRSPIC,MYRVERT,NAJFLEX,NUPLUTE,NYMODOR,PERAMPH,PERHYDR,PERLAPA,PHRAUST,PONCORD,POTCRIS,POTFOLI,POTNATA,POTRICH,POTZOST,RORIPPA,RORPALU,SAGITTARIA,SALIX,SCHACUT,SCHPUNG,SCHTABE,SOLDULC,SOLIDAGO,SPARGANIUM,SPIPOLY,SPARTINA,STRHELV,STUPECT,THEPALU,TYPHA,UTRMINO,UTRVULG,VALAMER,VERHAST,ZIZPALU,UNK_SEEDLING
BCWFR4,BCNWA,Reference,23.07920792,62.77227723,0,0,0,0,0,0,0,0,0,17,69,0,0,0,0,15,0,3,0,0,0,6,25,0,0,0,0,0,0,1,0,0,0,23,0,0,0,19,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,25,0,8,9,0,0,0
BCWFR5,BCNWA,Reference,23.18811881,156.8316832,0,0,0,0,2,0,0,0,0,16,12,0,0,0,0,36,0,9,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,0,0,0,0,0,0,0,23,0,0,0,0,67,0,1,0,0,0,0
BCWFR6,BCNWA,Reference,13.00990099,10.2970297,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,5,0,13,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,0,0,0,0,0,42,0,0,0,0,0,19,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0
BCWFR7,BCNWA,Reference,13.64356436,9.198019802,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,6,0,48,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0
BCWFR8,BCNWA,Reference,20.18811881,6.742574257,0,0,0,0,0,0,0,0,0,1,88,0,0,0,0,0,0,7,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0
BCWFT1,BCNWA,Treated,23.02970297,135.2475248,0,0,0,0,14,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,98,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,60,0,1,0,0,0,0
BCWFT2,BCNWA,Treated,34.22772277,125.7425743,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,99,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,58,0,0,0,0,0,0
BCWFT3,BCNWA,Treated,34.47524752,15.84158416,0,0,0,0,2,0,0,0,0,14,35,0,0,0,0,2,0,18,0,0,0,0,61,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,0,0,2,0,0,27,0,0,0,0,0,1,0,0,0,0,0,0,17,3,0,0,0,0,0,0,0,0,0,0,0
BCWFT4,BCNWA,Treated,19.04950495,219.8019802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,101,0,0,0,0,0,0
BCWFT5,BCNWA,Treated,26.08910891,40.0990099,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,86,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,17,0,0,0,0,0,10,0,0,0,0,0,0
BCWFT6,BCNWA,Treated,25.66336634,12.17821782,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,18,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,36,0,0,1,0,0,10,0,0,0,0,0,0,7,17,0,0,0,0,1,0,0,0,0,0,0
BCWFT7,BCNWA,Treated,27,3.881188119,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,21,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,59,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPWFP1,LPNWA,Phragmites,0.02970297,84.08910891,1,0,11,4,0,1,0,0,7,0,0,0,12,2,1,0,0,0,0,0,10,0,0,5,0,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,46,2,0,0,0,0,0,2,0,3,12,0,2,1,0,3,0,0,22,11,0,0,0,0,0,0,5,0,0
LPWFP2,LPNWA,Phragmites,2.079207921,96.74257426,2,0,0,0,6,3,14,0,1,0,0,1,0,0,6,0,4,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,2,6,29,12,0,0,0,0,0,1,0,29,0,0,5,13,0,3,0,0,0,0,0,0,25,0,0,0,0,8,0
LPWFP3,LPNWA,Phragmites,4.465346535,102.2277228,0,0,0,0,6,0,7,0,0,0,3,1,0,0,3,0,4,2,0,0,8,3,0,1,0,5,4,0,5,1,0,2,0,0,0,0,0,2,0,0,0,63,7,0,1,13,0,0,0,0,4,0,2,13,2,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
LPWFP4,LPNWA,Phragmites,20.84158416,18.81188119,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,4,0,0,0,4,1,0,0,0,0,0,0,0,0,0,2,0,0,22,1,2,0,0,0,1,16,8,0,20,9,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,19,0,11,0
LPWFP5,LPNWA,Phragmites,21.00990099,27.67326733,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,0,0,0,0,70,0,0,2,0,0,0,0,0,0,0,1,47,1,2,1,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1,0,0,0,0
LPWFP6,LPNWA,Phragmites,0.059405941,51.48514851,0,1,0,0,1,0,0,0,1,0,0,0,7,0,1,0,0,0,0,0,5,0,1,1,0,0,0,0,1,7,33,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,1,1,0,7,0,0,1,0,0,0,0,0,0,19,0,0,0,19,0,1
LPWFP7,LPNWA,Phragmites,15.16831683,22.13861386,0,0,2,0,1,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,58,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
LPWFP8,LPNWA,Phragmites,8.396039604,1.623762376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1
LPWFR1,LPNWA,Reference,2.594059406,79.97029703,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,13,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,2,0,10,0,0,0,0,0,0,0,43,0,0,0,20,15,0,24,0,0,0,0,0,14,0,0,0,0,1,0
LPWFR2,LPNWA,Reference,0,94.12871287,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,41,0,0,0,0,0,1
LPWFR3,LPNWA,Reference,2.504950495,112.9306931,0,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0,33,0,0,0,10,0,0,0,2,5,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,1,0,61,64,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0
LPWFR4,LPNWA,Reference,21.69306931,176.5940594,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,1,0,0,0,2,0,59,0,2,0,0,0,0,0,0,0,0,86,0,3,1,0,0,0
LPWFR5,LPNWA,Reference,43.05940594,63.6039604,0,0,0,0,0,0,4,0,0,3,0,0,0,1,0,0,0,3,0,0,0,0,3,10,0,0,0,0,0,0,0,1,4,22,0,5,19,9,5,0,0,0,28,1,14,1,0,4,0,0,0,0,0,0,2,0,0,0,0,1,0,3,0,19,0,28,2,0,24,0
LPWFR6,LPNWA,Reference,12.82178218,147.970297,0,0,0,0,0,1,3,1,0,3,0,2,1,8,0,0,0,5,0,0,0,1,2,39,0,0,0,0,0,0,0,3,1,9,0,1,0,11,18,0,2,4,1,3,12,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,69,0,20,0,0,0,2
LPWFR7,LPNWA,Reference,28.33663366,122.1287129,0,0,0,0,16,0,2,1,1,29,0,4,0,0,0,0,0,13,0,0,0,0,51,0,0,0,0,0,0,0,0,0,2,0,3,1,0,2,4,0,0,0,1,0,2,0,0,2,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,52,1,3,0,0,0,0
LPWFR8,LPNWA,Reference,10.65346535,147.3861386,0,0,0,0,0,1,15,1,1,0,0,2,0,3,0,43,0,0,1,0,4,0,38,12,17,0,0,0,0,0,0,6,0,0,0,0,0,0,5,0,8,12,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,46,0,6,0,0,0,23,0,0,0,0,0,0
LPWFT1,LPNWA,Treated,26.8019802,7.128712871,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,5,1,15,0,0,0,0,0,0,7,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0
LPWFT2,LPNWA,Treated,18.88118812,61.03960396,2,0,0,0,2,0,10,2,0,0,3,0,0,0,0,0,0,1,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,11,0,0,6,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,57,0,2,0,0,1,0
LPWFT3,LPNWA,Treated,32.05940594,1.98019802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,59,0,0,0,0,0,0,0,0,0,9,9,2,10,0,1,0,0,0,0,0,0,36,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,9,1,0,5,0
LPWFT4,LPNWA,Treated,35.08910891,15.92079208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,34,0,0,0,0,0,0,0,0,0,5,2,3,15,1,0,0,0,0,0,2,0,25,7,3,16,0,0,0,0,0,1,0,0,0,7,0,0,0,1,0,8,0,5,1,0,4,0
LPWFT5,LPNWA,Treated,27.46534653,16.10891089,0,0,0,0,0,0,9,0,0,0,11,0,0,0,0,0,0,7,0,0,0,7,31,0,0,0,0,0,0,0,0,0,7,6,0,20,0,0,7,0,0,1,7,0,5,6,1,0,0,0,1,0,0,2,0,0,0,10,0,0,0,0,0,4,0,0,21,0,0,0
LPWFT6,LPNWA,Treated,17.99009901,7.673267327,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,10,45,0,0,0,0,0,0,0,0,0,10,11,2,19,0,0,0,0,0,0,1,9,14,0,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,6,1,2,0,6,0
LPWFT7,LPNWA,Treated,12.05940594,68.86138614,0,0,0,0,0,0,6,2,0,0,1,0,0,0,0,0,0,8,0,0,0,3,11,0,0,0,0,0,0,0,0,0,1,9,0,35,0,0,0,0,0,2,1,3,22,1,0,4,0,0,11,0,0,5,0,0,0,11,0,0,0,0,0,37,9,5,4,0,3,0
LPWFT8,LPNWA,Treated,36.12871287,42.77227723,0,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,1,26,0,0,0,0,0,0,0,0,0,2,0,0,26,0,5,0,0,0,13,24,0,12,16,5,4,0,0,15,0,0,0,0,0,0,4,0,0,0,2,0,22,4,14,0,0,12,0
